STN--- WBAN   YEARMODA    TEMP       DEWP      SLP        STP       VISIB      WDSP     MXSPD   GUST    MAX     MIN   PRCP   SNDP   FRSHTT 
722900 23188  19810325    62.9 24    58.1 24  1019.0 24  1017.9  8    6.3 24    5.3 24   11.8  999.9    70.9    57.9   0.00D 999.9  100000 
722900 23188  19810326    63.1 24    55.1 24  1017.5 24  1016.7  8   11.6 24   11.6 24   22.0   28.9    68.0    59.9   0.00D 999.9  110000 
722900 23188  19810327    59.2 24    47.0 24  1015.3 23  1014.3  8   12.4 24   12.4 24   20.0   28.0    64.9    55.9   0.01G 999.9  010000 
722900 23188  19810328    59.8 23    49.1 23  1018.1 23  1016.9  8   12.0 23    7.0 23   13.0  999.9    66.0*   54.9   0.00G 999.9  000000 
722900 23188  19810329    61.7 24    53.1 24  1018.9 24  1017.9  8   10.8 24    5.9 24   12.0  999.9    66.9    59.0   0.00D 999.9  000000 
722900 23188  19810330    60.9 24    53.2 24  1016.0 24  1015.1  8   12.4 24    6.1 24   10.1  999.9    64.9    57.9   0.00D 999.9  000000 
722900 23188  19810331    60.4 24    52.7 24  1016.8 23  1015.8  8    9.6 24    5.1 24   10.1  999.9    66.0*   54.9   0.01C 999.9  000000 
722900 23188  19810401    62.7 24    54.9 24  1016.9 24  1016.0  8    8.1 24    6.5 24   12.0  999.9    66.9    59.9   0.00D 999.9  100000 
722900 23188  19810402    59.4 24    48.9 24  1013.7 24  1012.7  8   15.5 24   10.6 24   24.9   28.0    65.8    55.9   0.12D 999.9  010000 
722900 23188  19810403    59.1 22    47.6 22  1017.0 22  1015.6  8   15.3 22   11.7 22   15.9   19.8    63.0*   55.9   0.08D 999.9  000000 
722900 23188  19810404    60.7 24    49.4 24  1020.9 23  1019.8  8   13.8 24    6.7 24   12.0  999.9    73.0*   52.9   0.00D 999.9  000000 
722900 23188  19810405    68.2 24    44.1 24  1020.3 24  1019.5  8   13.7 24    5.7 24   14.0  999.9    82.9*   54.9   0.00D 999.9  000000 
722900 23188  19810406    67.0 24    46.7 24  1014.6 24  1013.7  8   12.4 24    5.3 24   15.0  999.9    82.9    57.9   0.00D 999.9  000000 
722900 23188  19810407    61.7 23    53.1 23  1014.8 23  1013.7  8    6.9 23    8.3 23   12.0  999.9    70.0    59.0*  0.00D 999.9  000000 
722900 23188  19810408    61.9 24    48.5 24  1016.1 24  1015.1  8   11.2 24    7.6 24   11.8  999.9    66.9*   59.0   0.00D 999.9  000000 
722900 23188  19810409    62.3 24    52.5 24  1015.5 24  1014.6  8    9.7 24    6.2 24   11.1  999.9    66.9    59.0   0.00D 999.9  000000 
722900 23188  19810410    62.7 23    52.8 23  1014.2 23  1013.2  8   12.8 23    8.4 23   10.1  999.9    65.8    61.0   0.00C 999.9  000000 
722900 23188  19810411    64.3 24    53.5 24  1016.1 24  1015.0  8   13.0 24    5.6 24   13.0  999.9    69.1*   61.9   0.00D 999.9  000000 
722900 23188  19810412    63.1 24    56.4 24  1016.5 24  1015.6  8    9.6 24    6.4 24   12.0  999.9    70.0    59.9   0.00D 999.9  000000 
722900 23188  19810413    63.1 24    54.3 24  1016.9 24  1015.8  8    6.9 24    6.1 23   11.8  999.9    68.9    59.9   0.00D 999.9  000000 
722900 23188  19810414    63.1 24    55.0 24  1017.7 24  1016.7  8    7.6 24    6.2 23   14.0  999.9    68.0    59.9   0.00D 999.9  000000 
722900 23188  19810415    62.1 23    55.0 23  1018.3 23  1017.3  8    6.3 23    7.7 23   13.0  999.9    68.0    59.9   0.00D 999.9  000000 
722900 23188  19810416    62.4 24    55.6 24  1018.9 23  1017.8  8    5.7 24    6.2 24   11.8  999.9    68.0*   59.9   0.00D 999.9  000000 
722900 23188  19810417    62.5 22    56.5 22  1016.4 22  1015.5  8    6.3 22    6.7 22   11.1  999.9    68.0    61.0   0.00C 999.9  000000 
722900 23188  19810418    62.5 24    54.7 24  1015.1 24  1014.0  8    9.2 24    8.4 24   16.9  999.9    66.0*   59.0   0.00D 999.9  010000 
722900 23188  19810419    60.7 24    52.8 24  1019.0 24  1017.8  8   11.2 24    7.9 24   14.0  999.9    66.0*   56.8   0.04G 999.9  010000 
722900 23188  19810420    61.4 24    52.3 24  1019.1 24  1018.3  8   12.7 24    6.8 24   15.0  999.9    66.9*   56.8   0.02G 999.9  000000 
722900 23188  19810421    62.9 24    54.3 24  1014.3 24  1013.6  8   12.7 24    6.9 24   15.9  999.9    70.0*   56.8   0.00G 999.9  000000 
722900 23188  19810422    65.6 23    58.7 23  1012.6 22  1011.6  8    9.3 23    6.5 23   12.8  999.9    72.0*   59.9   0.00D 999.9  000000 
722900 23188  19810423    64.9 24    58.5 24  1015.3 24  1014.1  8    7.5 24    7.2 24   10.9  999.9    72.9    61.9   0.00D 999.9  000000 
722900 23188  19810424    64.7 24    58.3 24  1016.4 24  1015.5  8    9.0 24    6.9 24   11.8  999.9    70.0    61.9   0.00D 999.9  000000 
